year,region,group,channel,spend,packs,spendYoy,population,perResident,populationBasis,missingSpendCells,missingPackCells,months
2017,030,antibiotics,direct,25564232.36,4814600.0,0.03644497785729564,9970419,2.5640078275546894,"ISTAT intercensal reconstruction, January 1",26,26,12
2017,030,antifungals,convenzionata,7346095.894038989,411825.0,-0.024032437905945392,9970419,0.7367890851968196,"ISTAT intercensal reconstruction, January 1",56,56,12
2017,030,antifungals,direct,19410628.81,99252.0,-0.05786686773579429,9970419,1.946821774491122,"ISTAT intercensal reconstruction, January 1",3,3,12
2017,041,antibiotics,convenzionata,2457192.4984869487,273949.0,-0.04099682834181152,523454,4.6941899354803835,"ISTAT intercensal reconstruction, January 1",207,207,12
2017,041,antibiotics,direct,1667041.99,320248.0,0.06104517789836062,523454,3.1846962483809467,"ISTAT intercensal reconstruction, January 1",31,31,12
2017,041,antifungals,convenzionata,159816.112908621,9846.0,-0.06686693971610042,523454,0.3053107109862968,"ISTAT intercensal reconstruction, January 1",45,45,12
2017,041,antifungals,direct,1329273.49,7998.0,0.31700928878138157,523454,2.539427514165524,"ISTAT intercensal reconstruction, January 1",4,4,12
2017,042,antibiotics,convenzionata,4144075.843657011,487714.0,0.037755959433542534,540280,7.670237365175486,"ISTAT intercensal reconstruction, January 1",230,230,12
2017,042,antibiotics,direct,2025512.48,323845.0,0.1983655990647821,540280,3.7490051084622786,"ISTAT intercensal reconstruction, January 1",42,42,12
2017,042,antifungals,convenzionata,420903.074646341,24821.0,-0.046282460099389376,540280,0.7790461883585196,"ISTAT intercensal reconstruction, January 1",37,37,12
2017,042,antifungals,direct,598231.41,4511.0,0.3635329384978417,540280,1.1072618086917896,"ISTAT intercensal reconstruction, January 1",0,0,12
2017,050,antibiotics,convenzionata,33727828.896137685,4032425.0,-0.0003556009320936108,4883373,6.90666653891433,"ISTAT intercensal reconstruction, January 1",290,290,12
2017,050,antibiotics,direct,22988352.91,4089924.0,0.1270930279573824,4883373,4.707474303109756,"ISTAT intercensal reconstruction, January 1",11,11,12
2017,050,antifungals,convenzionata,3455071.339316422,209442.0,-0.04596631057772166,4883373,0.707517394087329,"ISTAT intercensal reconstruction, January 1",58,58,12
2017,050,antifungals,direct,14264969.27,85773.0,0.035264277612422006,4883373,2.9211303887702207,"ISTAT intercensal reconstruction, January 1",6,6,12
2017,060,antibiotics,convenzionata,8337880.743080492,1021441.0,0.008647921495963279,1212809,6.874850650910813,"ISTAT intercensal reconstruction, January 1",236,236,12
2017,060,antibiotics,direct,5381138.25,1102059.0,0.2485122920307567,1212809,4.436921436104119,"ISTAT intercensal reconstruction, January 1",37,37,12
2017,060,antifungals,convenzionata,980362.878727928,63482.0,-0.04252227511344792,1212809,0.8083407022275791,"ISTAT intercensal reconstruction, January 1",50,50,12
2017,060,antifungals,direct,3665711.2,20005.0,0.04695355126519196,1212809,3.0224966998101106,"ISTAT intercensal reconstruction, January 1",2,2,12
2017,070,antibiotics,convenzionata,13494355.62029597,1578062.0,0.020075857241154786,1551379,8.69829720545139,"ISTAT intercensal reconstruction, January 1",226,226,12
2017,070,antibiotics,direct,6284079.71,1179019.0,-0.04092498888738963,1551379,4.050641210174947,"ISTAT intercensal reconstruction, January 1",33,33,12
2017,070,antifungals,convenzionata,1449255.678985681,83523.0,0.0007694476368029556,1551379,0.9341725516367573,"ISTAT intercensal reconstruction, January 1",55,55,12
2017,070,antifungals,direct,6268955.64,29547.0,-0.11733127738729121,1551379,4.040892418938248,"ISTAT intercensal reconstruction, January 1",8,8,12
2017,080,antibiotics,convenzionata,33815404.500703655,4302740.0,-0.0432230982578671,4439768,7.6164800729911235,"ISTAT intercensal reconstruction, January 1",282,282,12
2017,080,antibiotics,direct,17656773.71,3400972.0,0.02832381906967953,4439768,3.976958640631673,"ISTAT intercensal reconstruction, January 1",25,25,12
