aic,description,spend_eur,resolved,confidence,method,unresolved_category,units,content_per_unit_mg,total_content_mg,source_note
037911017,CETIRIZINA ABC*20CPR DIV 10MG,776.3,True,Validated,parsed:direct_strength,,20,10.0,200.0,20CPR DIV 10MG
033556010,UROKINASI PFI*FL100000UI+F2ML,776.03,False,Unresolved,unresolved,other,,,,
041306388,SILDENAFIL SAN*8CPR 25MG,775.35,True,Validated,parsed:direct_strength,,8,25.0,200.0,8CPR 25MG
034463101,ALIFLUS*INAL 25MCG+50MCG 120D,772.84,True,Candidate,parsed:single_value_assumed_unit,,1,0.025,0.025,25MCG
028308017,PROSCAR*15CPR RIV 5MG,766.49,True,Authoritative,aifa_ingredient_authoritative,,,,5.0,FINASTERIDE 5milligrammi
036003059,PAXABEL*OS POLV 20BUST 4G,765.46,True,Validated,parsed:direct_strength,,20,4000.0,80000.0,20BUST 4G
044472153,DULOXETINA ZEN*28CPS GASTR60MG,764.87,True,Validated,parsed:direct_strength,,28,60.0,1680.0,28CPS GASTR60MG
039132030,OSSIGENO*COMPR 200BAR 3LT,764.28,False,Unresolved,unresolved,oxygen_gas,,,,
048261073,LEVETIRACETAM EG*60CPR 500MG,760.15,True,Validated,parsed:direct_strength,,60,500.0,30000.0,60CPR 500MG
029212091,DUROGESIC*3CER 12MCG/ORA,758.88,False,Unresolved,unresolved,other,,,,
040267041,FLEBOGAMMA DIF*EV 200ML 10G,758.76,True,Candidate,parsed:single_value_assumed_unit,,1,10000.0,10000.0,10G
021460074,MUTABON MITE*30CPR 2MG+10MG,758.06,True,Validated,parsed:direct_strength,,30,2.0,60.0,30CPR 2MG
024519023,"GUTRON*OS GTT FL 30ML 0,25%",755.14,True,Authoritative,aifa_ingredient_authoritative,,,,300.0,MIDODRINA CLORIDRATO 0.3grammi
031133059,CALCIO CLORURO BIO*10F 1G 10ML,754.82,True,Authoritative,aifa_ingredient_authoritative,,,,100.0,CLORURO DI CALCIO 0.1grammi
042223089,ANNISTER*OS SOL 2FL 5ML50000UI,754.65,False,Unresolved,unresolved,other,,,,
038811143,"BISOPROLOLO SAN*28CPR RIV2,5MG",753.18,True,Validated,parsed:direct_strength,,28,2.5,70.0,"28CPR RIV2,5MG"
019888128,METHOTREXATE*INIET 4SIR 10MG,752.32,True,Validated,parsed:direct_strength,,4,10.0,40.0,4SIR 10MG
036486049,LAMOTRIGINA SA*56CPR DISP100MG,751.52,True,Validated,parsed:direct_strength,,56,100.0,5600.0,56CPR DISP100MG
036566038,CEFTAZIDIMA EG*IM 1F 1G+F 3ML,750.42,True,Validated,parsed:direct_strength,,1,1000.0,1000.0,1F 1G
007899026,LARGACTIL*25CPR RIV 25MG,750.12,True,Validated,parsed:direct_strength,,25,25.0,625.0,25CPR RIV 25MG
009115039,FITOSTIMOLINE*10GARZE 15%,748.58,False,Unresolved,unresolved,other,,,,
041000035,AMIKACINA B.BRAUN*EV 10F 500MG,748.44,True,Validated,parsed:direct_strength,,10,500.0,5000.0,10F 500MG
034959015,"DATSCAN*INIET FL2,5ML 74MBQ/ML",748.0,False,Unresolved,unresolved,other,,,,
038947026,BIVIS*28CPR RIV 20MG+5MG,747.15,True,Validated,parsed:direct_strength,,28,20.0,560.0,28CPR RIV 20MG
036257020,"GENTAMICINA TEVA*CR 30G 0,1%",744.88,True,Candidate,parsed:single_value_assumed_unit,,1,30000.0,30000.0,30G
037492117,FLUCONAZOLO ZENT*10CPS 100MG,744.81,True,Validated,parsed:direct_strength,,10,100.0,1000.0,10CPS 100MG
024713075,HALCION*20CPR 250MCG,743.73,True,Authoritative,aifa_ingredient_authoritative,,,,0.3,TRIAZOLAM 0.3milligrammi
012745016,TACHIPIRINA*SCIR 120ML 120MG/5,742.81,False,Unresolved,unresolved,other,,,,
042416038,FASTJEKT*1PEN PRER 300MCG,738.63,True,Validated,parsed:direct_strength,,1,0.3,0.3,1PEN PRER 300MCG
035297199,"CALCITRIOLO TEVA*30CPS 0,25MCG",738.1,True,Validated,parsed:direct_strength,,30,0.0003,0.0075,"30CPS 0,25MCG"
028878080,FORTRADOL*OS GTT 10ML 100MG/ML,735.73,True,Candidate,parsed:implied_unit_vol_conc,,1,1000.0,1000.0,GTT 10ML 100MG/ML
009209053,POTASSION*GRAT EFF 20BUST,735.66,True,Authoritative,aifa_ingredient_authoritative,,,,500.0,POTASSIO BICARBONATO 0.5grammi
033346026,CISPLATINO SAND*EV 25MG 50ML,734.79,True,Candidate,parsed:single_value_assumed_unit,,1,25.0,25.0,25MG
020702054,MAALOX*40CPR MAST 400MG+400MG,732.54,True,Validated,parsed:direct_strength,,40,400.0,16000.0,40CPR MAST 400MG
020676045,INDOXEN*FTE 10SUPP 100MG,731.55,True,Authoritative,aifa_ingredient_authoritative,,,,100.0,INDOMETACINA 100milligrammi
023585019,NEURABEN*30CPS 100MG,730.8,True,Validated,parsed:direct_strength,,30,100.0,3000.0,30CPS 100MG
039557071,ARIA AIR LIQUIDE*200BAR 14LT,730.08,False,Unresolved,unresolved,other,,,,
038358014,KETOROLAC ABC*GTT 10ML 20MG/ML,729.38,True,Candidate,parsed:implied_unit_vol_conc,,1,200.0,200.0,GTT 10ML 20MG/ML
029247057,METACOLINA LOFARMA*64MG/ML 2FL,727.65,True,Authoritative,aifa_ingredient_authoritative,,,,192.0,METACOLINA CLORURO 192milligrammi
